movie_id	tconst	title	genres	year
372	tt0083284	Victory	Drama,Sport,War	1981
373	tt0083511	48 Hrs.	Action,Comedy,Crime	1982
374	tt0083530	Airplane II: The Sequel	Comedy,Sci-Fi	1982
375	tt0083564	Annie	Comedy,Drama,Family	1982
376	tt0083630	The Beastmaster	Action,Adventure,Fantasy	1982
377	tt0083658	Blade Runner	Action,Sci-Fi,Thriller	1982
378	tt0083767	Creepshow	Comedy,Fantasy,Horror	1982
379	tt0083922	Fanny and Alexander	Drama	1982
380	tt0083929	Fast Times at Ridgemont High	Comedy,Drama	1982
381	tt0083944	First Blood	Action,Adventure	1982
382	tt0083946	Fitzcarraldo	Adventure,Drama	1982
383	tt0083987	Gandhi	Biography,Drama,History	1982
384	tt0084021	Grease 2	Comedy,Drama,Musical	1982
385	tt0084434	An Officer and a Gentleman	Drama,Romance	1982
386	tt0084503	Pink Floyd: The Wall	Animation,Drama,Fantasy	1982
387	tt0084522	Porky's	Comedy	1981
388	tt0084649	The Secret of NIMH	Adventure,Animation,Drama	1982
389	tt0084707	Sophie's Choice	Drama,Romance	1982
390	tt0084726	Star Trek II: The Wrath of Khan	Action,Adventure,Sci-Fi	1982
391	tt0084805	Tootsie	Comedy,Drama,Romance	1982
392	tt0084827	TRON	Action,Adventure,Sci-Fi	1982
393	tt0084855	The Verdict	Drama	1982
394	tt0084917	The World According to Garp	Comedy,Drama	1982
395	tt0085244	The Big Chill	Comedy,Drama	1983
396	tt0085334	A Christmas Story	Comedy,Family	1983
397	tt0085407	The Dead Zone	Drama,Horror,Sci-Fi	1983
398	tt0085549	Flashdance	Drama,Music,Romance	1983
399	tt0085794	The King of Comedy	Comedy,Crime,Drama	1982
400	tt0085811	Krull	Action,Adventure,Fantasy	1983
401	tt0085995	National Lampoon's Vacation	Adventure,Comedy	1983
402	tt0086006	Never Say Never Again	Action,Adventure,Thriller	1983
403	tt0086034	Octopussy	Action,Adventure,Thriller	1983
404	tt0086066	The Outsiders	Crime,Drama	1983
405	tt0086190	Star Wars: Episode VI - Return of the Jedi	Action,Adventure,Fantasy	1983
406	tt0086197	The Right Stuff	Adventure,Biography,Drama	1983
407	tt0086200	Risky Business	Comedy,Crime,Drama	1983
408	tt0086216	Rumble Fish	Crime,Drama,Romance	1983
409	tt0086250	Scarface	Crime,Drama	1983
410	tt0086393	Superman III	Action,Adventure,Comedy	1983
411	tt0086425	Terms of Endearment	Comedy,Drama	1983
412	tt0086465	Trading Places	Comedy	1983
413	tt0086567	WarGames	Action,Adventure,Drama	1983
414	tt0086879	Amadeus	Biography,Drama,History	1984
415	tt0086927	Bachelor Party	Comedy	1984
416	tt0086960	Beverly Hills Cop	Action,Comedy,Crime	1984
417	tt0086979	Blood Simple	Crime,Drama,Thriller	1984
418	tt0086984	Body Double	Crime,Drama,Mystery	1984
419	tt0087078	Conan the Destroyer	Action,Adventure,Fantasy	1984
420	tt0087182	Dune	Action,Adventure,Sci-Fi	1984
421	tt0087262	Firestarter	Action,Horror,Sci-Fi	1984
422	tt0087277	Footloose	Drama,Music,Romance	1984
423	tt0087332	Ghostbusters	Action,Comedy,Fantasy	1984
424	tt0087363	Gremlins	Comedy,Fantasy,Horror	1984
425	tt0087469	Indiana Jones and the Temple of Doom	Action,Adventure	1984
426	tt0087538	The Karate Kid	Action,Drama,Family	1984
427	tt0087553	The Killing Fields	Biography,Drama,History	1984
428	tt0087597	The Last Starfighter	Action,Adventure,Sci-Fi	1984
429	tt0087781	The Natural	Drama,Sport	1984
430	tt0087803	1984	Drama,Sci-Fi	1984
431	tt0087843	Once Upon a Time in America	Crime,Drama	1984
432	tt0087884	Paris, Texas	Drama	1984
433	tt0087928	Police Academy	Comedy	1984
434	tt0087985	Red Dawn	Action,Drama	1984
435	tt0087995	Repo Man	Action,Comedy,Crime	1984
436	tt0088000	Revenge of the Nerds	Comedy	1984
437	tt0088011	Romancing the Stone	Action,Adventure,Comedy	1984
438	tt0088128	Sixteen Candles	Comedy,Romance	1984
439	tt0088161	Splash	Comedy,Fantasy,Romance	1984
440	tt0088184	Stranger Than Paradise	Comedy,Drama	1984
441	tt0088247	The Terminator	Action,Sci-Fi	1984
442	tt0088286	Top Secret!	Comedy,Music	1984
443	tt0088323	The NeverEnding Story	Adventure,Drama,Family	1984
444	tt0088680	After Hours	Comedy,Crime,Drama	1985
445	tt0088763	Back to the Future	Adventure,Comedy,Sci-Fi	1985
446	tt0088794	Better Off Dead...	Comedy,Romance	1985
447	tt0088814	The Black Cauldron	Action,Adventure,Animation	1985
448	tt0088846	Brazil	Drama,Sci-Fi	1985
449	tt0088847	The Breakfast Club	Comedy,Drama	1985
450	tt0088850	Brewster's Millions	Comedy	1985
451	tt0088930	Clue	Comedy,Crime,Mystery	1985
452	tt0088933	Cocoon	Comedy,Drama,Sci-Fi	1985
453	tt0088939	The Color Purple	Drama	1985
454	tt0088944	Commando	Action,Adventure,Thriller	1985
455	tt0089092	Enemy Mine	Action,Adventure,Drama	1985
456	tt0089155	Fletch	Comedy,Crime,Mystery	1985
457	tt0089218	The Goonies	Adventure,Comedy,Family	1985
458	tt0089370	The Jewel of the Nile	Action,Adventure,Comedy	1985
