(T) | Epoch=061, loss=8.0492, con=7.3228, intent=2.4358, rec=0.0134, ilssc=4.9111, il_q=8, il_seed=0.982, il_sim=0.634, il_conn=0.005, il_uniq=8.0, il_neg=0.439, this epoch 0.7244, total 44.6243
(T) | Epoch=062, loss=7.9771, con=7.2298, intent=2.4358, rec=0.0112, ilssc=5.1273, il_q=8, il_seed=0.981, il_sim=0.555, il_conn=0.009, il_uniq=8.0, il_neg=0.456, this epoch 0.6769, total 45.3012
(T) | Epoch=063, loss=7.9262, con=7.1919, intent=2.4375, rec=0.0132, ilssc=4.9980, il_q=8, il_seed=0.980, il_sim=0.618, il_conn=0.002, il_uniq=8.0, il_neg=0.454, this epoch 0.6822, total 45.9834
(T) | Epoch=064, loss=7.9970, con=7.2556, intent=2.4378, rec=0.0169, ilssc=5.0642, il_q=8, il_seed=0.979, il_sim=0.561, il_conn=0.008, il_uniq=8.0, il_neg=0.440, this epoch 0.6832, total 46.6666
(T) | Epoch=065, loss=8.1138, con=7.3780, intent=2.4374, rec=0.0169, ilssc=5.0082, il_q=8, il_seed=0.980, il_sim=0.632, il_conn=0.002, il_uniq=8.0, il_neg=0.469, this epoch 0.6975, total 47.3641
(T) | Epoch=066, loss=8.2058, con=7.4558, intent=2.4350, rec=0.0193, ilssc=5.1514, il_q=8, il_seed=0.981, il_sim=0.568, il_conn=0.007, il_uniq=8.0, il_neg=0.472, this epoch 0.6864, total 48.0504
(T) | Epoch=067, loss=8.1461, con=7.4095, intent=2.4311, rec=0.0165, ilssc=5.0241, il_q=8, il_seed=0.981, il_sim=0.600, il_conn=0.005, il_uniq=8.0, il_neg=0.452, this epoch 0.6840, total 48.7345
(T) | Epoch=068, loss=7.9605, con=7.2259, intent=2.4278, rec=0.0181, ilssc=5.0046, il_q=8, il_seed=0.984, il_sim=0.677, il_conn=0.004, il_uniq=8.0, il_neg=0.518, this epoch 0.6882, total 49.4227
(T) | Epoch=069, loss=7.8901, con=7.1566, intent=2.4247, rec=0.0120, ilssc=5.0005, il_q=8, il_seed=0.983, il_sim=0.616, il_conn=0.005, il_uniq=8.0, il_neg=0.457, this epoch 0.6822, total 50.1049
(T) | Epoch=070, loss=8.0972, con=7.3702, intent=2.4230, rec=0.0122, ilssc=4.9345, il_q=8, il_seed=0.986, il_sim=0.662, il_conn=0.001, il_uniq=8.0, il_neg=0.463, this epoch 0.6827, total 50.7876  alpha=[pap:0.665, psp:0.335]
(T) | Epoch=071, loss=8.2231, con=7.4873, intent=2.4206, rec=0.0110, ilssc=5.0233, il_q=8, il_seed=0.985, il_sim=0.640, il_conn=0.002, il_uniq=8.0, il_neg=0.486, this epoch 0.6818, total 51.4694
(T) | Epoch=072, loss=8.1962, con=7.4587, intent=2.4192, rec=0.0117, ilssc=5.0416, il_q=8, il_seed=0.985, il_sim=0.648, il_conn=0.004, il_uniq=8.0, il_neg=0.496, this epoch 0.6815, total 52.1508
(T) | Epoch=073, loss=8.1044, con=7.3725, intent=2.4179, rec=0.0137, ilssc=4.9863, il_q=8, il_seed=0.986, il_sim=0.665, il_conn=0.007, il_uniq=8.0, il_neg=0.495, this epoch 0.6938, total 52.8446
(T) | Epoch=074, loss=8.0245, con=7.3036, intent=2.4168, rec=0.0146, ilssc=4.8710, il_q=8, il_seed=0.986, il_sim=0.701, il_conn=0.001, il_uniq=8.0, il_neg=0.469, this epoch 0.6853, total 53.5299
(T) | Epoch=075, loss=8.0438, con=7.3014, intent=2.4162, rec=0.0124, ilssc=5.0944, il_q=8, il_seed=0.986, il_sim=0.656, il_conn=0.011, il_uniq=8.0, il_neg=0.528, this epoch 0.6814, total 54.2113
(T) | Epoch=076, loss=8.0884, con=7.3486, intent=2.4149, rec=0.0158, ilssc=5.0614, il_q=8, il_seed=0.985, il_sim=0.662, il_conn=0.006, il_uniq=8.0, il_neg=0.534, this epoch 0.6855, total 54.8968
(T) | Epoch=077, loss=8.1222, con=7.3779, intent=2.4140, rec=0.0147, ilssc=5.1029, il_q=8, il_seed=0.984, il_sim=0.624, il_conn=0.001, il_uniq=8.0, il_neg=0.516, this epoch 0.7002, total 55.5970
(T) | Epoch=078, loss=8.1098, con=7.3659, intent=2.4140, rec=0.0124, ilssc=5.0954, il_q=8, il_seed=0.985, il_sim=0.602, il_conn=0.001, il_uniq=8.0, il_neg=0.497, this epoch 0.6883, total 56.2853
(T) | Epoch=079, loss=8.0735, con=7.3315, intent=2.4143, rec=0.0129, ilssc=5.0618, il_q=8, il_seed=0.986, il_sim=0.600, il_conn=0.001, il_uniq=8.0, il_neg=0.468, this epoch 0.6878, total 56.9730
