[log] 运行日志写入: log/run_IMDB_NEW_20260805_182202.log
[config] cand_sources=embed num_cand_per_node=0 cand_label_mode=soft lambda_cand_bce=0.0 lambda_ic_spnm=0.0 ic_spnm_pos=20 ic_spnm_neg=256 ic_spnm_hard_pool=2048 ic_spnm_pos_mode=neighbor ic_spnm_frontier_ratio=0.5 ic_spnm_frontier_hops=2 lambda_ilssc=0.1 ilssc_seed_size=8 ilssc_neg=256 ilssc_hops=2 relation_fusion=icra cs_topk=(5, 10, 20, 50, 'oracle') cs_w_list=(0.18, 0.2, 0.22, 0.24, 0.26) greedy_patience=1 greedy_min_gain_tol=0.0001 frontier_batch_size=2 greedy_connectivity_boost=0.0 greedy_select_mode=first_drop greedy_init_seed_size=1 greedy_init_seed_hops=1 greedy_init_seed_conn_beta=0.3 include_query_in_pred=False eval_perturb=none:0.0 seed=123
Using CPU
Using GPU: NVIDIA GeForce RTX 2080 Ti
/root/miniconda3/lib/python3.8/site-packages/scipy/sparse/_index.py:146: SparseEfficiencyWarning: Changing the sparsity structure of a csr_matrix is expensive. lil_matrix is more efficient.
  self._set_arrayXarray(i, j, x)
  [cs_full_graph] IMDB_NEW: merged ['mam.npz', 'mdm.npz'] -> 159228 directed edges (no sparsify)
  [sparsify] mam.npz: 143122 -> 63780 edges (avg_deg 32 -> 14, top-k=10)
[data] 多关系 R=2: mam(63780 edges), mdm(18710 edges)
[intent] dynamic query-based, dim=256
[encoder] MultiRelation+ICRA  R=2 hii_heads=1 icra_heads=1 icra_dim=64
[ILSSC] 全量图邻接表就绪, lambda=0.1, seed=8 neg=256 B=8 hops=2 frontier_pool=128 conn_beta=0.3 sim_beta=0.5 proto_alpha=0.5
(T) | Epoch=048, loss=7.7294, con=6.9855, intent=2.4179, rec=0.0056, ilssc=5.1235, il_q=8, il_seed=0.984, il_sim=0.430, il_conn=0.025, il_uniq=8.0, il_neg=0.392, this epoch 0.5976, total 29.5978
(T) | Epoch=049, loss=7.7058, con=6.9541, intent=2.4135, rec=0.0058, ilssc=5.2067, il_q=8, il_seed=0.983, il_sim=0.394, il_conn=0.051, il_uniq=8.0, il_neg=0.386, this epoch 0.6129, total 30.2107
(T) | Epoch=050, loss=7.7096, con=6.9638, intent=2.4174, rec=0.0050, ilssc=5.1454, il_q=8, il_seed=0.983, il_sim=0.389, il_conn=0.034, il_uniq=8.0, il_neg=0.369, this epoch 0.5921, total 30.8028  alpha=[mam:0.614, mdm:0.386]
(T) | Epoch=051, loss=7.7311, con=6.9836, intent=2.4145, rec=0.0050, ilssc=5.1683, il_q=8, il_seed=0.984, il_sim=0.359, il_conn=0.047, il_uniq=8.0, il_neg=0.378, this epoch 0.6083, total 31.4110
(T) | Epoch=052, loss=7.7179, con=6.9774, intent=2.4111, rec=0.0064, ilssc=5.1012, il_q=7, il_seed=0.984, il_sim=0.441, il_conn=0.038, il_uniq=8.0, il_neg=0.379, this epoch 0.6056, total 32.0167
(T) | Epoch=053, loss=7.7225, con=6.9663, intent=2.4071, rec=0.0046, ilssc=5.2680, il_q=8, il_seed=0.985, il_sim=0.374, il_conn=0.050, il_uniq=8.0, il_neg=0.378, this epoch 0.6014, total 32.6181
(T) | Epoch=054, loss=7.7203, con=6.9817, intent=2.4072, rec=0.0054, ilssc=5.0916, il_q=8, il_seed=0.983, il_sim=0.420, il_conn=0.056, il_uniq=7.4, il_neg=0.387, this epoch 0.6086, total 33.2267
(T) | Epoch=055, loss=7.7476, con=6.9992, intent=2.4053, rec=0.0061, ilssc=5.1897, il_q=8, il_seed=0.984, il_sim=0.388, il_conn=0.079, il_uniq=7.6, il_neg=0.369, this epoch 0.6023, total 33.8290
(T) | Epoch=056, loss=7.7389, con=6.9871, intent=2.4017, rec=0.0056, ilssc=5.2287, il_q=8, il_seed=0.985, il_sim=0.386, il_conn=0.035, il_uniq=8.0, il_neg=0.372, this epoch 0.6127, total 34.4418
(T) | Epoch=057, loss=7.6973, con=6.9710, intent=2.3998, rec=0.0059, ilssc=4.9761, il_q=8, il_seed=0.985, il_sim=0.423, il_conn=0.043, il_uniq=8.0, il_neg=0.362, this epoch 0.5997, total 35.0415
(T) | Epoch=058, loss=7.7178, con=6.9761, intent=2.3975, rec=0.0052, ilssc=5.1325, il_q=7, il_seed=0.987, il_sim=0.399, il_conn=0.060, il_uniq=8.0, il_neg=0.379, this epoch 0.6035, total 35.6450
(T) | Epoch=059, loss=7.7174, con=6.9727, intent=2.3967, rec=0.0057, ilssc=5.1605, il_q=8, il_seed=0.986, il_sim=0.414, il_conn=0.030, il_uniq=8.0, il_neg=0.383, this epoch 0.6013, total 36.2462
(T) | Epoch=060, loss=7.6827, con=6.9430, intent=2.3947, rec=0.0051, ilssc=5.1088, il_q=8, il_seed=0.986, il_sim=0.408, il_conn=0.056, il_uniq=8.0, il_neg=0.377, this epoch 0.6075, total 36.8538  alpha=[mam:0.643, mdm:0.357]
(T) | Epoch=061, loss=7.6832, con=6.9320, intent=2.3947, rec=0.0049, ilssc=5.2190, il_q=8, il_seed=0.985, il_sim=0.364, il_conn=0.082, il_uniq=7.6, il_neg=0.380, this epoch 0.6422, total 37.4959
(T) | Epoch=062, loss=7.7105, con=6.9789, intent=2.3953, rec=0.0051, ilssc=5.0159, il_q=8, il_seed=0.985, il_sim=0.408, il_conn=0.024, il_uniq=8.0, il_neg=0.358, this epoch 0.6049, total 38.1008
(T) | Epoch=063, loss=7.7742, con=7.0232, intent=2.3995, rec=0.0046, ilssc=5.2023, il_q=8, il_seed=0.984, il_sim=0.369, il_conn=0.059, il_uniq=8.0, il_neg=0.361, this epoch 0.5997, total 38.7005
(T) | Epoch=064, loss=7.7647, con=7.0048, intent=2.3913, rec=0.0055, ilssc=5.2990, il_q=8, il_seed=0.985, il_sim=0.334, il_conn=0.039, il_uniq=8.0, il_neg=0.377, this epoch 0.6020, total 39.3025
(T) | Epoch=065, loss=7.7058, con=6.9571, intent=2.3867, rec=0.0036, ilssc=5.1973, il_q=8, il_seed=0.987, il_sim=0.349, il_conn=0.050, il_uniq=8.0, il_neg=0.377, this epoch 0.6106, total 39.9131
(T) | Epoch=066, loss=7.6577, con=6.9346, intent=2.3856, rec=0.0040, ilssc=4.9490, il_q=8, il_seed=0.988, il_sim=0.439, il_conn=0.029, il_uniq=8.0, il_neg=0.357, this epoch 0.6021, total 40.5152
(T) | Epoch=067, loss=7.6857, con=6.9430, intent=2.3823, rec=0.0042, ilssc=5.1507, il_q=7, il_seed=0.989, il_sim=0.376, il_conn=0.066, il_uniq=8.0, il_neg=0.364, this epoch 0.6055, total 41.1207
(T) | Epoch=068, loss=7.7150, con=6.9621, intent=2.3818, rec=0.0041, ilssc=5.2548, il_q=7, il_seed=0.987, il_sim=0.378, il_conn=0.029, il_uniq=8.0, il_neg=0.368, this epoch 0.5983, total 41.7191
(T) | Epoch=069, loss=7.7338, con=6.9792, intent=2.3914, rec=0.0040, ilssc=5.2640, il_q=8, il_seed=0.987, il_sim=0.354, il_conn=0.044, il_uniq=8.0, il_neg=0.363, this epoch 0.6044, total 42.3234
(T) | Epoch=070, loss=7.7353, con=6.9833, intent=2.3827, rec=0.0051, ilssc=5.2461, il_q=8, il_seed=0.988, il_sim=0.361, il_conn=0.118, il_uniq=7.4, il_neg=0.375, this epoch 0.6059, total 42.9293  alpha=[mam:0.625, mdm:0.375]
(T) | Epoch=071, loss=7.7279, con=6.9749, intent=2.3802, rec=0.0052, ilssc=5.2603, il_q=8, il_seed=0.987, il_sim=0.365, il_conn=0.046, il_uniq=8.0, il_neg=0.374, this epoch 0.6028, total 43.5321
(T) | Epoch=072, loss=7.7392, con=6.9722, intent=2.3799, rec=0.0055, ilssc=5.4008, il_q=8, il_seed=0.987, il_sim=0.325, il_conn=0.057, il_uniq=8.0, il_neg=0.388, this epoch 0.6063, total 44.1384
(T) | Epoch=073, loss=7.6989, con=6.9604, intent=2.3779, rec=0.0053, ilssc=5.1207, il_q=7, il_seed=0.988, il_sim=0.328, il_conn=0.049, il_uniq=8.0, il_neg=0.353, this epoch 0.5976, total 44.7360
(T) | Epoch=074, loss=7.6620, con=6.9299, intent=2.3756, rec=0.0058, ilssc=5.0606, il_q=7, il_seed=0.988, il_sim=0.445, il_conn=0.042, il_uniq=8.0, il_neg=0.412, this epoch 0.5962, total 45.3322
(T) | Epoch=075, loss=7.6595, con=6.9217, intent=2.3730, rec=0.0053, ilssc=5.1207, il_q=8, il_seed=0.989, il_sim=0.394, il_conn=0.061, il_uniq=8.0, il_neg=0.361, this epoch 0.6046, total 45.9367
(T) | Epoch=076, loss=7.6987, con=6.9546, intent=2.3706, rec=0.0054, ilssc=5.1858, il_q=8, il_seed=0.989, il_sim=0.420, il_conn=0.035, il_uniq=8.0, il_neg=0.397, this epoch 0.6011, total 46.5379
(T) | Epoch=077, loss=7.7188, con=6.9895, intent=2.3674, rec=0.0054, ilssc=5.0426, il_q=8, il_seed=0.989, il_sim=0.446, il_conn=0.023, il_uniq=8.0, il_neg=0.379, this epoch 0.6015, total 47.1394
(T) | Epoch=078, loss=7.7388, con=7.0007, intent=2.3698, rec=0.0052, ilssc=5.1290, il_q=7, il_seed=0.989, il_sim=0.416, il_conn=0.029, il_uniq=8.0, il_neg=0.379, this epoch 0.6004, total 47.7398
(T) | Epoch=079, loss=7.7581, con=7.0105, intent=2.3634, rec=0.0051, ilssc=5.2312, il_q=6, il_seed=0.990, il_sim=0.367, il_conn=0.026, il_uniq=8.0, il_neg=0.374, this epoch 0.6026, total 48.3424
(T) | Epoch=080, loss=7.7777, con=7.0220, intent=2.3690, rec=0.0046, ilssc=5.3067, il_q=7, il_seed=0.990, il_sim=0.368, il_conn=0.064, il_uniq=8.0, il_neg=0.394, this epoch 0.5975, total 48.9399  alpha=[mam:0.549, mdm:0.451]
(T) | Epoch=081, loss=7.7578, con=7.0131, intent=2.3647, rec=0.0051, ilssc=5.1999, il_q=8, il_seed=0.988, il_sim=0.406, il_conn=0.039, il_uniq=8.0, il_neg=0.393, this epoch 0.6461, total 49.5860
(T) | Epoch=082, loss=7.7243, con=6.9864, intent=2.3666, rec=0.0052, ilssc=5.1293, il_q=8, il_seed=0.988, il_sim=0.417, il_conn=0.057, il_uniq=8.0, il_neg=0.378, this epoch 0.6044, total 50.1904
(T) | Epoch=083, loss=7.7176, con=6.9682, intent=2.3651, rec=0.0073, ilssc=5.2423, il_q=8, il_seed=0.987, il_sim=0.357, il_conn=0.077, il_uniq=8.0, il_neg=0.366, this epoch 0.6036, total 50.7940
(T) | Epoch=084, loss=7.7230, con=6.9771, intent=2.3668, rec=0.0061, ilssc=5.2050, il_q=8, il_seed=0.986, il_sim=0.440, il_conn=0.025, il_uniq=8.0, il_neg=0.401, this epoch 0.6040, total 51.3980
(T) | Epoch=085, loss=7.7499, con=7.0101, intent=2.3682, rec=0.0078, ilssc=5.1372, il_q=8, il_seed=0.985, il_sim=0.450, il_conn=0.027, il_uniq=8.0, il_neg=0.407, this epoch 0.6045, total 52.0025
