[log] 运行日志写入: log\run_ACM_20260718_071845.log
Using CPU
Using CPU
  [cs_full_graph] ACM: merged ['pap.npz', 'psp.npz'] -> 4359766 directed edges (no sparsify)
  [sparsify] psp.npz: 4338213 -> 344296 edges (avg_deg 1079 -> 86, top-k=50)
[data] 多关系 R=2: pap(53834 edges), psp(344296 edges)
[intent] dynamic query-based, dim=256
[encoder] MultiRelation+ICRA  R=2 hii_heads=4 icra_heads=4 icra_dim=128
[IGQC] 全量图邻接表就绪, lambda=0.5, pos=20 neg=512 B=8 gate=True
(T) | Epoch=079, loss=11.1539, con=7.4301, intent=2.3544, rec=0.0257, igqc=5.8387, this epoch 128.2193, total 10620.4990
(T) | Epoch=080, loss=10.8467, con=7.4035, intent=2.3518, rec=0.0267, igqc=5.2880, this epoch 136.7997, total 10757.2987  alpha=[pap:0.823, psp:0.177]
(T) | Epoch=081, loss=10.9509, con=7.3417, intent=2.3503, rec=0.0344, igqc=5.6274, this epoch 134.3473, total 10891.6461
(T) | Epoch=082, loss=11.1381, con=7.2599, intent=2.3502, rec=0.0265, igqc=6.1687, this epoch 139.4937, total 11031.1397
(T) | Epoch=083, loss=11.0998, con=7.2458, intent=2.3498, rec=0.0288, igqc=6.1217, this epoch 129.5846, total 11160.7243
(T) | Epoch=084, loss=11.0354, con=7.3025, intent=2.3503, rec=0.0283, igqc=5.8826, this epoch 132.9218, total 11293.6461
(T) | Epoch=085, loss=11.0156, con=7.2979, intent=2.3492, rec=0.0267, igqc=5.8544, this epoch 134.9737, total 11428.6198
(T) | Epoch=086, loss=11.0653, con=7.2790, intent=2.3513, rec=0.0270, igqc=5.9913, this epoch 134.9871, total 11563.6069
(T) | Epoch=087, loss=11.2226, con=7.3482, intent=2.3518, rec=0.0274, igqc=6.1729, this epoch 132.8298, total 11696.4367
(T) | Epoch=088, loss=11.1686, con=7.3910, intent=2.3506, rec=0.0261, igqc=5.9828, this epoch 131.1075, total 11827.5442
(T) | Epoch=089, loss=11.1975, con=7.4049, intent=2.3476, rec=0.0220, igqc=6.0175, this epoch 133.1378, total 11960.6821
(T) | Epoch=090, loss=11.1821, con=7.4292, intent=2.3440, rec=0.0197, igqc=5.9417, this epoch 132.5759, total 12093.2580  alpha=[pap:0.894, psp:0.106]
(T) | Epoch=091, loss=11.2134, con=7.3989, intent=2.3407, rec=0.0175, igqc=6.0683, this epoch 138.9222, total 12232.1801
(T) | Epoch=092, loss=11.0875, con=7.3270, intent=2.3377, rec=0.0215, igqc=5.9617, this epoch 129.6111, total 12361.7912
(T) | Epoch=093, loss=11.0093, con=7.3863, intent=2.3356, rec=0.0183, igqc=5.6911, this epoch 132.7093, total 12494.5006
(T) | Epoch=094, loss=11.1349, con=7.5281, intent=2.3345, rec=0.0175, igqc=5.6601, this epoch 129.1657, total 12623.6663
