[log] 运行日志写入: log\run_ACM_20260714_095128.log
Using CPU
Using CPU
  [sparsify] psp.npz: 4338213 -> 344296 edges (avg_deg 1079 -> 86, top-k=50)
[data] 多关系 R=2: pap(53834 edges), psp(344296 edges)
[intent] dynamic query-based, dim=256
[encoder] MultiRelation+ICRA  R=2 hii_heads=4 icra_heads=4 icra_dim=128
(T) | Epoch=085, loss=8.0733, con=7.2598, intent=2.3422, rec=0.0123, this epoch 130.0996, total 12564.0576
(T) | Epoch=086, loss=8.0495, con=7.2362, intent=2.3400, rec=0.0122, this epoch 123.4604, total 12687.5181
(T) | Epoch=087, loss=7.9622, con=7.1468, intent=2.3378, rec=0.0119, this epoch 122.4601, total 12809.9782
(T) | Epoch=088, loss=7.9495, con=7.1324, intent=2.3359, rec=0.0120, this epoch 124.0241, total 12934.0023
(T) | Epoch=089, loss=8.0440, con=7.2263, intent=2.3361, rec=0.0125, this epoch 117.6163, total 13051.6186
(T) | Epoch=090, loss=8.0885, con=7.2703, intent=2.3346, rec=0.0134, this epoch 121.4968, total 13173.1154  alpha=[pap:0.850, psp:0.150]
(T) | Epoch=091, loss=8.1094, con=7.2909, intent=2.3339, rec=0.0129, this epoch 127.2353, total 13300.3507
(T) | Epoch=092, loss=8.1332, con=7.3153, intent=2.3333, rec=0.0124, this epoch 121.6087, total 13421.9594
(T) | Epoch=093, loss=8.1327, con=7.3156, intent=2.3314, rec=0.0129, this epoch 118.8281, total 13540.7875
(T) | Epoch=094, loss=8.1819, con=7.3664, intent=2.3291, rec=0.0129, this epoch 116.8898, total 13657.6774
(T) | Epoch=095, loss=8.2601, con=7.4472, intent=2.3272, rec=0.0116, this epoch 122.0125, total 13779.6898
(T) | Epoch=096, loss=8.2504, con=7.4378, intent=2.3263, rec=0.0127, this epoch 118.6465, total 13898.3363
(T) | Epoch=097, loss=8.1408, con=7.3253, intent=2.3250, rec=0.0126, this epoch 124.6876, total 14023.0240
(T) | Epoch=098, loss=8.0750, con=7.2552, intent=2.3271, rec=0.0107, this epoch 134.4241, total 14157.4480
(T) | Epoch=099, loss=8.1819, con=7.3618, intent=2.3277, rec=0.0106, this epoch 128.8965, total 14286.3446
(T) | Epoch=100, loss=8.2988, con=7.4809, intent=2.3293, rec=0.0089, this epoch 134.5646, total 14420.9091  alpha=[pap:0.854, psp:0.146]
(T) | Epoch=101, loss=8.3084, con=7.4931, intent=2.3257, rec=0.0104, this epoch 131.1798, total 14552.0889
(T) | Epoch=102, loss=8.2297, con=7.4145, intent=2.3256, rec=0.0107, this epoch 134.1392, total 14686.2281
(T) | Epoch=103, loss=8.1321, con=7.3162, intent=2.3253, rec=0.0112, this epoch 127.1854, total 14813.4135
(T) | Epoch=104, loss=8.0617, con=7.2454, intent=2.3246, rec=0.0120, this epoch 139.6027, total 14953.0162
(T) | Epoch=105, loss=8.0546, con=7.2405, intent=2.3206, rec=0.0123, this epoch 141.3546, total 15094.3708
(T) | Epoch=106, loss=8.1237, con=7.3133, intent=2.3190, rec=0.0121, this epoch 135.5809, total 15229.9517
(T) | Epoch=107, loss=8.1440, con=7.3373, intent=2.3166, rec=0.0129, this epoch 165.6036, total 15395.5553
