(T) | Epoch=037, loss=7.2729, con=6.6216, intent=2.4337, rec=0.0001, ilssc=4.7357, il_lam=0.0900, il_q=8, il_seed=0.982, il_sim=0.253, il_conn=0.000, il_dist=0.000, il_high=0.803, il_conf_q=0.000, il_conf_seed=0.000, il_gate_seed=1.000, il_uniq=8.0, il_neg=0.054, il_neg_dist=0.000, il_neg_high=0.469, il_conf_neg=0.000, il_gate_neg=1.000, id_upd=0, this epoch 2.3960, total 94.1652
(T) | Epoch=038, loss=7.2940, con=6.6227, intent=2.4320, rec=0.0001, ilssc=4.7840, il_lam=0.0933, il_q=8, il_seed=0.982, il_sim=0.259, il_conn=0.000, il_dist=0.000, il_high=0.780, il_conf_q=0.000, il_conf_seed=0.000, il_gate_seed=1.000, il_uniq=8.0, il_neg=0.076, il_neg_dist=0.000, il_neg_high=0.445, il_conf_neg=0.000, il_gate_neg=1.000, id_upd=0, this epoch 3.2906, total 97.4558
(T) | Epoch=039, loss=7.2901, con=6.6192, intent=2.4305, rec=0.0001, ilssc=4.6165, il_lam=0.0967, il_q=8, il_seed=0.982, il_sim=0.302, il_conn=0.000, il_dist=0.000, il_high=0.776, il_conf_q=0.000, il_conf_seed=0.000, il_gate_seed=1.000, il_uniq=8.0, il_neg=0.065, il_neg_dist=0.000, il_neg_high=0.433, il_conf_neg=0.000, il_gate_neg=1.000, id_upd=0, this epoch 2.9682, total 100.4240
(T) | Epoch=040, loss=7.3026, con=6.6147, intent=2.4305, rec=0.0002, ilssc=4.6341, il_lam=0.1000, il_q=8, il_seed=0.981, il_sim=0.297, il_conn=0.000, il_dist=0.000, il_high=0.799, il_conf_q=0.000, il_conf_seed=0.000, il_gate_seed=1.000, il_uniq=8.0, il_neg=0.060, il_neg_dist=0.000, il_neg_high=0.461, il_conf_neg=0.000, il_gate_neg=1.000, id_upd=0, this epoch 2.8595, total 103.2836  alpha=[apa:0.168, apcpa:0.424, aptpa:0.407]
(T) | Epoch=041, loss=7.3040, con=6.6141, intent=2.4309, rec=0.0001, ilssc=4.6533, il_lam=0.1000, il_q=8, il_seed=0.982, il_sim=0.280, il_conn=0.000, il_dist=0.000, il_high=0.731, il_conf_q=0.000, il_conf_seed=0.000, il_gate_seed=1.000, il_uniq=8.0, il_neg=0.061, il_neg_dist=0.000, il_neg_high=0.447, il_conf_neg=0.000, il_gate_neg=1.000, id_upd=0, this epoch 3.0242, total 106.3077
(T) | Epoch=042, loss=7.2906, con=6.6170, intent=2.4282, rec=0.0001, ilssc=4.4935, il_lam=0.1000, il_q=8, il_seed=0.980, il_sim=0.316, il_conn=0.001, il_dist=0.000, il_high=0.687, il_conf_q=0.000, il_conf_seed=0.000, il_gate_seed=1.000, il_uniq=8.0, il_neg=0.080, il_neg_dist=0.000, il_neg_high=0.345, il_conf_neg=0.000, il_gate_neg=1.000, id_upd=0, this epoch 2.8252, total 109.1329
(T) | Epoch=043, loss=7.2798, con=6.6190, intent=2.4268, rec=0.0002, ilssc=4.3680, il_lam=0.1000, il_q=8, il_seed=0.981, il_sim=0.378, il_conn=0.000, il_dist=0.000, il_high=0.777, il_conf_q=0.000, il_conf_seed=0.000, il_gate_seed=1.000, il_uniq=8.0, il_neg=0.072, il_neg_dist=0.000, il_neg_high=0.431, il_conf_neg=0.000, il_gate_neg=1.000, id_upd=0, this epoch 2.8443, total 111.9773
(T) | Epoch=044, loss=7.3040, con=6.6171, intent=2.4222, rec=0.0003, ilssc=4.6341, il_lam=0.1000, il_q=8, il_seed=0.982, il_sim=0.317, il_conn=0.001, il_dist=0.000, il_high=0.709, il_conf_q=0.000, il_conf_seed=0.000, il_gate_seed=1.000, il_uniq=8.0, il_neg=0.074, il_neg_dist=0.000, il_neg_high=0.401, il_conf_neg=0.000, il_gate_neg=1.000, id_upd=0, this epoch 3.0779, total 115.0552
(T) | Epoch=045, loss=7.3096, con=6.6143, intent=2.4199, rec=0.0003, ilssc=4.7216, il_lam=0.1000, il_q=8, il_seed=0.983, il_sim=0.263, il_conn=0.000, il_dist=0.000, il_high=0.772, il_conf_q=0.000, il_conf_seed=0.000, il_gate_seed=1.000, il_uniq=8.0, il_neg=0.057, il_neg_dist=0.000, il_neg_high=0.433, il_conf_neg=0.000, il_gate_neg=1.000, id_upd=0, this epoch 2.9395, total 117.9947
(T) | Epoch=046, loss=7.2825, con=6.6135, intent=2.4213, rec=0.0003, ilssc=4.4570, il_lam=0.1000, il_q=8, il_seed=0.984, il_sim=0.352, il_conn=0.000, il_dist=0.000, il_high=0.745, il_conf_q=0.000, il_conf_seed=0.000, il_gate_seed=1.000, il_uniq=8.0, il_neg=0.057, il_neg_dist=0.000, il_neg_high=0.466, il_conf_neg=0.000, il_gate_neg=1.000, id_upd=0, this epoch 2.8966, total 120.8913
