[log] 运行日志写入: log/run_ACM_20260805_121929.log
[config] cand_sources=embed num_cand_per_node=0 cand_label_mode=soft lambda_cand_bce=0.0 lambda_ic_spnm=0.005 ic_spnm_pos=40 ic_spnm_neg=128 ic_spnm_hard_pool=1024 cs_topk=(5, 10, 20, 50, 'oracle') cs_w_list=(0.18, 0.2, 0.22, 0.24, 0.26) greedy_patience=1 greedy_min_gain_tol=0.0001 frontier_batch_size=2 greedy_connectivity_boost=0.0 greedy_select_mode=first_drop include_query_in_pred=False eval_perturb=none:0.0 seed=123
Using CPU
Using GPU: NVIDIA GeForce RTX 2080 Ti
  [cs_full_graph] ACM: merged ['pap.npz', 'psp.npz'] -> 4359766 directed edges (no sparsify)
/root/miniconda3/lib/python3.8/site-packages/scipy/sparse/_index.py:146: SparseEfficiencyWarning: Changing the sparsity structure of a csr_matrix is expensive. lil_matrix is more efficient.
  self._set_arrayXarray(i, j, x)
  [sparsify] pap.npz: 57853 -> 30852 edges (avg_deg 14 -> 8, top-k=10)
  [sparsify] psp.npz: 4338213 -> 75790 edges (avg_deg 1079 -> 19, top-k=10)
[data] 多关系 R=2: pap(30852 edges), psp(75790 edges)
[intent] dynamic query-based, dim=256
[encoder] MultiRelation+ICRA  R=2 hii_heads=1 icra_heads=1 icra_dim=64
[IC-SPNM] 全量图邻接表就绪, lambda=0.005, pos=40 neg=128 B=4 pool=1024 intent_beta=1.5 struct_beta=1.0 susp_alpha=0.0
(T) | Epoch=089, loss=7.5114, con=7.2518, intent=2.3979, rec=0.0083, ic_spnm=5.0569, ic_q=4, ic_pos=0.990, ic_neg=0.368, this epoch 0.6795, total 63.2780
(T) | Epoch=090, loss=7.4514, con=7.1908, intent=2.3994, rec=0.0075, ic_spnm=4.9447, ic_q=4, ic_pos=0.989, ic_neg=0.439, this epoch 0.6861, total 63.9641  alpha=[pap:0.887, psp:0.113]
(T) | Epoch=091, loss=7.4803, con=7.2154, intent=2.3998, rec=0.0081, ic_spnm=5.4964, ic_q=4, ic_pos=0.988, ic_neg=0.543, this epoch 0.6790, total 64.6431
(T) | Epoch=092, loss=7.5243, con=7.2603, intent=2.3986, rec=0.0080, ic_spnm=5.2645, ic_q=4, ic_pos=0.986, ic_neg=0.480, this epoch 0.6702, total 65.3133
(T) | Epoch=093, loss=7.5145, con=7.2503, intent=2.3970, rec=0.0089, ic_spnm=5.3436, ic_q=4, ic_pos=0.987, ic_neg=0.503, this epoch 0.6734, total 65.9867
(T) | Epoch=094, loss=7.4716, con=7.2081, intent=2.3948, rec=0.0088, ic_spnm=5.2770, ic_q=4, ic_pos=0.988, ic_neg=0.545, this epoch 0.6818, total 66.6685
(T) | Epoch=095, loss=7.4650, con=7.2017, intent=2.3926, rec=0.0106, ic_spnm=5.2380, ic_q=4, ic_pos=0.988, ic_neg=0.460, this epoch 0.6737, total 67.3422
(T) | Epoch=096, loss=7.5059, con=7.2418, intent=2.3897, rec=0.0102, ic_spnm=5.4332, ic_q=4, ic_pos=0.989, ic_neg=0.508, this epoch 0.6712, total 68.0134
(T) | Epoch=097, loss=7.5322, con=7.2695, intent=2.3865, rec=0.0101, ic_spnm=5.2203, ic_q=4, ic_pos=0.991, ic_neg=0.465, this epoch 0.6765, total 68.6899
(T) | Epoch=098, loss=7.5169, con=7.2541, intent=2.3838, rec=0.0088, ic_spnm=5.4120, ic_q=4, ic_pos=0.991, ic_neg=0.471, this epoch 0.6725, total 69.3624
